   -i:Edge list format (default:'graph.edgelist')
Creating graph:
no of edges = 9888
size of vertex cover is 957
size of vertex cover is 948
size of vertex cover is 950
size of vertex cover is 947
size of vertex cover is 955
size of vertex cover is 953
size of vertex cover is 942
size of vertex cover is 950
size of vertex cover is 948
size of vertex cover is 952
size of vertex cover is 954
size of vertex cover is 947
size of vertex cover is 959
size of vertex cover is 958
size of vertex cover is 951
size of vertex cover is 957
size of vertex cover is 951
size of vertex cover is 946
size of vertex cover is 957
size of vertex cover is 950
size of vertex cover is 959
size of vertex cover is 954
size of vertex cover is 952
size of vertex cover is 958
size of vertex cover is 958
size of vertex cover is 955
size of vertex cover is 953
size of vertex cover is 947
size of vertex cover is 959
size of vertex cover is 954
size of vertex cover is 954
size of vertex cover is 943
size of vertex cover is 950
size of vertex cover is 961
size of vertex cover is 952
size of vertex cover is 949
size of vertex cover is 970
size of vertex cover is 958
size of vertex cover is 959
size of vertex cover is 946
size of vertex cover is 954
size of vertex cover is 964
size of vertex cover is 953
size of vertex cover is 944
size of vertex cover is 960
size of vertex cover is 952
size of vertex cover is 957
size of vertex cover is 952
size of vertex cover is 960
size of vertex cover is 956
size of vertex cover is 961
size of vertex cover is 952
size of vertex cover is 946
size of vertex cover is 962
size of vertex cover is 950
size of vertex cover is 953
size of vertex cover is 956
size of vertex cover is 957
size of vertex cover is 943
size of vertex cover is 949
size of vertex cover is 957
size of vertex cover is 949
size of vertex cover is 949
size of vertex cover is 958
size of vertex cover is 940
size of vertex cover is 953
size of vertex cover is 951
size of vertex cover is 951
size of vertex cover is 945
size of vertex cover is 950
size of vertex cover is 957
size of vertex cover is 946
size of vertex cover is 953
size of vertex cover is 948
size of vertex cover is 953
size of vertex cover is 958
size of vertex cover is 944
size of vertex cover is 961
size of vertex cover is 949
size of vertex cover is 960
size of vertex cover is 953
size of vertex cover is 958
size of vertex cover is 951
size of vertex cover is 944
size of vertex cover is 967
size of vertex cover is 953
size of vertex cover is 946
size of vertex cover is 948
size of vertex cover is 951
size of vertex cover is 953
size of vertex cover is 953
size of vertex cover is 955
size of vertex cover is 958
size of vertex cover is 943
size of vertex cover is 956
size of vertex cover is 952
size of vertex cover is 957
size of vertex cover is 957
size of vertex cover is 944
size of vertex cover is 949
size of vertex cover is 951
size of vertex cover is 956
size of vertex cover is 956
size of vertex cover is 949
size of vertex cover is 950
size of vertex cover is 953
size of vertex cover is 951
size of vertex cover is 948
size of vertex cover is 945
size of vertex cover is 953
size of vertex cover is 948
size of vertex cover is 951
size of vertex cover is 958
size of vertex cover is 955
size of vertex cover is 957
size of vertex cover is 953
size of vertex cover is 950
size of vertex cover is 960
size of vertex cover is 958
size of vertex cover is 965
size of vertex cover is 967
size of vertex cover is 954
size of vertex cover is 949
size of vertex cover is 960
size of vertex cover is 949
size of vertex cover is 957
size of vertex cover is 951
size of vertex cover is 960
size of vertex cover is 956
size of vertex cover is 952
size of vertex cover is 953
size of vertex cover is 957
size of vertex cover is 949
size of vertex cover is 946
size of vertex cover is 951
size of vertex cover is 951
size of vertex cover is 952
size of vertex cover is 950
size of vertex cover is 956
size of vertex cover is 956
size of vertex cover is 955
size of vertex cover is 958
size of vertex cover is 958
size of vertex cover is 952
size of vertex cover is 955
size of vertex cover is 954
size of vertex cover is 956
size of vertex cover is 956
size of vertex cover is 955
size of vertex cover is 956
size of vertex cover is 964
size of vertex cover is 959
size of vertex cover is 954
size of vertex cover is 962
size of vertex cover is 953
size of vertex cover is 942
size of vertex cover is 955
size of vertex cover is 959
size of vertex cover is 951
size of vertex cover is 956
size of vertex cover is 967
size of vertex cover is 943
size of vertex cover is 959
size of vertex cover is 951
size of vertex cover is 958
size of vertex cover is 957
size of vertex cover is 947
size of vertex cover is 960
size of vertex cover is 959
size of vertex cover is 956
size of vertex cover is 952
size of vertex cover is 951
size of vertex cover is 954
size of vertex cover is 949
size of vertex cover is 959
size of vertex cover is 951
size of vertex cover is 949
size of vertex cover is 960
size of vertex cover is 958
size of vertex cover is 949
size of vertex cover is 942
size of vertex cover is 942
size of vertex cover is 948
size of vertex cover is 947
size of vertex cover is 956
size of vertex cover is 955
size of vertex cover is 942
size of vertex cover is 954
size of vertex cover is 962
size of vertex cover is 951
size of vertex cover is 954
size of vertex cover is 952
size of vertex cover is 950
size of vertex cover is 941
size of vertex cover is 963
size of vertex cover is 942
size of vertex cover is 953
size of vertex cover is 957
size of vertex cover is 953
size of vertex cover is 959
size of vertex cover is 948
size of vertex cover is 957
size of vertex cover is 945
size of vertex cover is 949
size of vertex cover is 946
size of vertex cover is 949
size of vertex cover is 957
size of vertex cover is 950
size of vertex cover is 949
size of vertex cover is 961
size of vertex cover is 962
size of vertex cover is 954
size of vertex cover is 951
size of vertex cover is 964
size of vertex cover is 946
size of vertex cover is 949
size of vertex cover is 953
size of vertex cover is 945
size of vertex cover is 959
size of vertex cover is 956
size of vertex cover is 958
size of vertex cover is 951
size of vertex cover is 959
size of vertex cover is 947
size of vertex cover is 957
size of vertex cover is 950
size of vertex cover is 955
size of vertex cover is 958
size of vertex cover is 946
size of vertex cover is 955
size of vertex cover is 959
size of vertex cover is 953
size of vertex cover is 956
size of vertex cover is 959
size of vertex cover is 948
size of vertex cover is 960
size of vertex cover is 952
size of vertex cover is 951
size of vertex cover is 960
size of vertex cover is 944
size of vertex cover is 952
size of vertex cover is 945
size of vertex cover is 952
size of vertex cover is 957
size of vertex cover is 955
size of vertex cover is 958
size of vertex cover is 966
size of vertex cover is 956
size of vertex cover is 961
size of vertex cover is 951
size of vertex cover is 954
size of vertex cover is 939
size of vertex cover is 958
size of vertex cover is 953
size of vertex cover is 952
size of vertex cover is 949
size of vertex cover is 950
size of vertex cover is 955
size of vertex cover is 955
size of vertex cover is 962
size of vertex cover is 953
size of vertex cover is 959
size of vertex cover is 953
size of vertex cover is 966
size of vertex cover is 958
size of vertex cover is 953
size of vertex cover is 959
size of vertex cover is 954
size of vertex cover is 940
size of vertex cover is 954
size of vertex cover is 956
size of vertex cover is 947
size of vertex cover is 952
size of vertex cover is 949
size of vertex cover is 947
size of vertex cover is 949
size of vertex cover is 956
size of vertex cover is 953
size of vertex cover is 954
size of vertex cover is 948
size of vertex cover is 948
size of vertex cover is 952
size of vertex cover is 954
size of vertex cover is 954
size of vertex cover is 949
size of vertex cover is 950
size of vertex cover is 956
size of vertex cover is 964
size of vertex cover is 959
size of vertex cover is 945
size of vertex cover is 954
size of vertex cover is 960
size of vertex cover is 952
size of vertex cover is 938
size of vertex cover is 953
size of vertex cover is 960
size of vertex cover is 955
size of vertex cover is 956
size of vertex cover is 955
size of vertex cover is 963
size of vertex cover is 949
size of vertex cover is 956
size of vertex cover is 951
size of vertex cover is 952
size of vertex cover is 951
size of vertex cover is 943
size of vertex cover is 956
size of vertex cover is 953
size of vertex cover is 956
size of vertex cover is 951
size of vertex cover is 961
size of vertex cover is 945
size of vertex cover is 955
size of vertex cover is 963
size of vertex cover is 947
size of vertex cover is 959
size of vertex cover is 954
size of vertex cover is 956
size of vertex cover is 957
size of vertex cover is 958
size of vertex cover is 958
size of vertex cover is 955
size of vertex cover is 943
size of vertex cover is 945
size of vertex cover is 948
size of vertex cover is 949
size of vertex cover is 956
size of vertex cover is 950
size of vertex cover is 956
size of vertex cover is 958
size of vertex cover is 950
size of vertex cover is 950
size of vertex cover is 958
size of vertex cover is 949
size of vertex cover is 952
size of vertex cover is 954
size of vertex cover is 944
size of vertex cover is 953
size of vertex cover is 953
size of vertex cover is 954
size of vertex cover is 953
size of vertex cover is 963
size of vertex cover is 953
size of vertex cover is 961
size of vertex cover is 952
size of vertex cover is 956
size of vertex cover is 949
size of vertex cover is 946
size of vertex cover is 962
size of vertex cover is 951
size of vertex cover is 952
size of vertex cover is 959
size of vertex cover is 955
size of vertex cover is 944
size of vertex cover is 957
size of vertex cover is 952
size of vertex cover is 946
size of vertex cover is 954
size of vertex cover is 956
size of vertex cover is 949
size of vertex cover is 956
size of vertex cover is 956
size of vertex cover is 964
size of vertex cover is 953
size of vertex cover is 949
size of vertex cover is 955
size of vertex cover is 948
size of vertex cover is 946
size of vertex cover is 949
size of vertex cover is 958
size of vertex cover is 949
size of vertex cover is 956
size of vertex cover is 953
size of vertex cover is 961
size of vertex cover is 947
size of vertex cover is 961
size of vertex cover is 953
size of vertex cover is 949
size of vertex cover is 955
size of vertex cover is 952
size of vertex cover is 954
size of vertex cover is 960
size of vertex cover is 960
size of vertex cover is 949
size of vertex cover is 956
size of vertex cover is 950
size of vertex cover is 951
size of vertex cover is 939
size of vertex cover is 956
size of vertex cover is 955
size of vertex cover is 957
size of vertex cover is 947
size of vertex cover is 952
size of vertex cover is 951
size of vertex cover is 944
size of vertex cover is 949
size of vertex cover is 948
size of vertex cover is 952
size of vertex cover is 956
size of vertex cover is 949
size of vertex cover is 954
size of vertex cover is 942
size of vertex cover is 951
size of vertex cover is 950
size of vertex cover is 948
size of vertex cover is 962
size of vertex cover is 945
size of vertex cover is 953
size of vertex cover is 951
size of vertex cover is 941
size of vertex cover is 946
size of vertex cover is 954
size of vertex cover is 948
size of vertex cover is 951
size of vertex cover is 951
size of vertex cover is 952
size of vertex cover is 945
size of vertex cover is 964
size of vertex cover is 943
size of vertex cover is 961
size of vertex cover is 956
size of vertex cover is 963
size of vertex cover is 956
size of vertex cover is 949
size of vertex cover is 948
size of vertex cover is 958
size of vertex cover is 949
size of vertex cover is 950
size of vertex cover is 953
size of vertex cover is 959
size of vertex cover is 953
size of vertex cover is 945
size of vertex cover is 957
size of vertex cover is 954
size of vertex cover is 951
size of vertex cover is 941
size of vertex cover is 951
size of vertex cover is 949
size of vertex cover is 948
size of vertex cover is 942
size of vertex cover is 950
size of vertex cover is 953
size of vertex cover is 964
size of vertex cover is 944
size of vertex cover is 951
size of vertex cover is 954
size of vertex cover is 951
size of vertex cover is 961
size of vertex cover is 958
size of vertex cover is 954
size of vertex cover is 945
size of vertex cover is 957
size of vertex cover is 956
size of vertex cover is 956
size of vertex cover is 949
size of vertex cover is 951
size of vertex cover is 953
size of vertex cover is 955
size of vertex cover is 948
size of vertex cover is 954
size of vertex cover is 947
size of vertex cover is 951
size of vertex cover is 944
size of vertex cover is 957
size of vertex cover is 949
size of vertex cover is 956
size of vertex cover is 953
size of vertex cover is 950
size of vertex cover is 954
size of vertex cover is 952
size of vertex cover is 958
size of vertex cover is 950
size of vertex cover is 958
size of vertex cover is 953
size of vertex cover is 959
size of vertex cover is 950
size of vertex cover is 947
size of vertex cover is 944
size of vertex cover is 958
size of vertex cover is 960
size of vertex cover is 951
size of vertex cover is 946
size of vertex cover is 958
size of vertex cover is 949
size of vertex cover is 953
size of vertex cover is 947
size of vertex cover is 959
size of vertex cover is 956
size of vertex cover is 952
size of vertex cover is 951
size of vertex cover is 943
size of vertex cover is 952
size of vertex cover is 953
size of vertex cover is 968
size of vertex cover is 949
size of vertex cover is 948
size of vertex cover is 962
size of vertex cover is 952
size of vertex cover is 960
size of vertex cover is 941
size of vertex cover is 950
size of vertex cover is 956
size of vertex cover is 964
size of vertex cover is 958
size of vertex cover is 949
size of vertex cover is 965
size of vertex cover is 948
size of vertex cover is 941
size of vertex cover is 958
size of vertex cover is 954
size of vertex cover is 951
size of vertex cover is 954
size of vertex cover is 956
size of vertex cover is 957
size of vertex cover is 960
size of vertex cover is 962
size of vertex cover is 956
size of vertex cover is 949
size of vertex cover is 962
size of vertex cover is 945
size of vertex cover is 962
size of vertex cover is 960
size of vertex cover is 953
size of vertex cover is 955
size of vertex cover is 954
size of vertex cover is 953
size of vertex cover is 941
size of vertex cover is 943
size of vertex cover is 952
size of vertex cover is 959
size of vertex cover is 956
size of vertex cover is 949
size of vertex cover is 963
size of vertex cover is 956
size of vertex cover is 960
size of vertex cover is 944
size of vertex cover is 962
size of vertex cover is 960
size of vertex cover is 964
size of vertex cover is 945
size of vertex cover is 968
size of vertex cover is 953
size of vertex cover is 946
size of vertex cover is 945
size of vertex cover is 964
size of vertex cover is 956
size of vertex cover is 959
size of vertex cover is 949
size of vertex cover is 948
size of vertex cover is 954
size of vertex cover is 951
size of vertex cover is 950
size of vertex cover is 954
size of vertex cover is 947
size of vertex cover is 951
size of vertex cover is 953
size of vertex cover is 951
size of vertex cover is 955
size of vertex cover is 949
size of vertex cover is 950
size of vertex cover is 953
size of vertex cover is 961
size of vertex cover is 944
size of vertex cover is 945
size of vertex cover is 947
size of vertex cover is 957
size of vertex cover is 949
size of vertex cover is 950
size of vertex cover is 953
size of vertex cover is 949
size of vertex cover is 956
size of vertex cover is 953
size of vertex cover is 956
size of vertex cover is 947
size of vertex cover is 945
size of vertex cover is 943
size of vertex cover is 949
size of vertex cover is 949
size of vertex cover is 950
size of vertex cover is 957
size of vertex cover is 955
size of vertex cover is 952
size of vertex cover is 951
size of vertex cover is 946
size of vertex cover is 948
size of vertex cover is 953
size of vertex cover is 954
size of vertex cover is 953
size of vertex cover is 947
size of vertex cover is 951
size of vertex cover is 952
size of vertex cover is 962
size of vertex cover is 957
size of vertex cover is 953
size of vertex cover is 951
size of vertex cover is 950
size of vertex cover is 953
size of vertex cover is 954
size of vertex cover is 962
size of vertex cover is 955
size of vertex cover is 948
size of vertex cover is 950
size of vertex cover is 947
size of vertex cover is 942
size of vertex cover is 957
size of vertex cover is 955
size of vertex cover is 953
size of vertex cover is 954
size of vertex cover is 962
size of vertex cover is 946
size of vertex cover is 953
size of vertex cover is 945
size of vertex cover is 943
size of vertex cover is 952
size of vertex cover is 955
size of vertex cover is 943
size of vertex cover is 960
size of vertex cover is 955
size of vertex cover is 952
size of vertex cover is 951
size of vertex cover is 946
size of vertex cover is 950
size of vertex cover is 947
size of vertex cover is 950
size of vertex cover is 954
size of vertex cover is 955
size of vertex cover is 937
size of vertex cover is 949
size of vertex cover is 958
size of vertex cover is 952
size of vertex cover is 945
size of vertex cover is 945
size of vertex cover is 951
size of vertex cover is 962
size of vertex cover is 955
size of vertex cover is 946
size of vertex cover is 956
size of vertex cover is 950
size of vertex cover is 948
size of vertex cover is 958
size of vertex cover is 946
size of vertex cover is 952
size of vertex cover is 959
size of vertex cover is 958
size of vertex cover is 949
size of vertex cover is 943
size of vertex cover is 946
size of vertex cover is 955
size of vertex cover is 966
size of vertex cover is 951
size of vertex cover is 944
size of vertex cover is 942
size of vertex cover is 945
size of vertex cover is 960
size of vertex cover is 954
size of vertex cover is 961
size of vertex cover is 955
size of vertex cover is 953
size of vertex cover is 944
size of vertex cover is 940
size of vertex cover is 956
size of vertex cover is 955
size of vertex cover is 952
size of vertex cover is 956
size of vertex cover is 954
size of vertex cover is 955
size of vertex cover is 954
size of vertex cover is 960
size of vertex cover is 948
size of vertex cover is 950
size of vertex cover is 957
size of vertex cover is 944
size of vertex cover is 957
size of vertex cover is 956
size of vertex cover is 956
size of vertex cover is 957
size of vertex cover is 954
size of vertex cover is 950
size of vertex cover is 965
size of vertex cover is 958
size of vertex cover is 953
size of vertex cover is 954
size of vertex cover is 953
size of vertex cover is 942
size of vertex cover is 961
size of vertex cover is 950
size of vertex cover is 946
size of vertex cover is 949
size of vertex cover is 955
size of vertex cover is 961
size of vertex cover is 946
size of vertex cover is 949
size of vertex cover is 962
size of vertex cover is 959
size of vertex cover is 958
size of vertex cover is 956
size of vertex cover is 959
size of vertex cover is 949
size of vertex cover is 964
size of vertex cover is 950
size of vertex cover is 962
size of vertex cover is 946
size of vertex cover is 959
size of vertex cover is 953
size of vertex cover is 948
size of vertex cover is 955
size of vertex cover is 946
size of vertex cover is 953
size of vertex cover is 953
size of vertex cover is 953
size of vertex cover is 957
size of vertex cover is 960
size of vertex cover is 944
size of vertex cover is 958
size of vertex cover is 952
size of vertex cover is 954
size of vertex cover is 956
size of vertex cover is 949
size of vertex cover is 950
size of vertex cover is 955
size of vertex cover is 955
size of vertex cover is 960
size of vertex cover is 949
size of vertex cover is 957
size of vertex cover is 949
size of vertex cover is 959
size of vertex cover is 942
size of vertex cover is 947
size of vertex cover is 951
size of vertex cover is 951
size of vertex cover is 948
size of vertex cover is 950
size of vertex cover is 962
size of vertex cover is 960
size of vertex cover is 959
size of vertex cover is 959
size of vertex cover is 943
size of vertex cover is 961
size of vertex cover is 953
size of vertex cover is 950
size of vertex cover is 959
size of vertex cover is 947
size of vertex cover is 960
size of vertex cover is 959
size of vertex cover is 953
size of vertex cover is 951
size of vertex cover is 959
size of vertex cover is 954
size of vertex cover is 948
size of vertex cover is 945
size of vertex cover is 952
size of vertex cover is 955
size of vertex cover is 950
size of vertex cover is 952
size of vertex cover is 957
size of vertex cover is 947
size of vertex cover is 946
size of vertex cover is 955
size of vertex cover is 955
size of vertex cover is 956
size of vertex cover is 947
size of vertex cover is 948
size of vertex cover is 958
size of vertex cover is 951
size of vertex cover is 953
size of vertex cover is 955
size of vertex cover is 947
size of vertex cover is 943
size of vertex cover is 949
size of vertex cover is 953
size of vertex cover is 950
size of vertex cover is 953
size of vertex cover is 955
size of vertex cover is 940
size of vertex cover is 951
size of vertex cover is 949
size of vertex cover is 943
size of vertex cover is 954
size of vertex cover is 958
size of vertex cover is 956
